recId|seqNumber|seqLength|displayLatitude|displayLongitude|district|county|city|postalCode|state|country
1|1|1|59.3644|17.8741|Center|AB|Vällingby|162 66|Stockholm|SE
2|2|2|28.76064|116.01677|Messerschmidt||Jiangxiangzhen|||CN
3|3|3|42.025|-8.5417|Bartelt|16|Souto|4910-060|Viana do Castelo|PT
4|4|4|-17.525|-49.44722|Sage||Pontalina|||BR
5|5|5|9.05|-11.73333|Lukken||Bumbuna|||SL
6|6|6|45.22827|130.39676|Kings||Kuishan|||CN
7|7|7|21.5391|-105.0084|Lunder|NAY|Independencia|63136|Nayarit|MX
8|8|8|-7.4374|107.8354|Ramsey||Potongan|||ID
9|9|9|-3.36667|36.85|Westerfield||Usa River|||TZ
10|10|10|57.4872|12.0761|Dwight|N|Kungsbacka|434 43|Halland|SE
11|11|11|40.4344|-80.0248|Truax|PA|Pittsburgh|15266|Pennsylvania|US
12|12|12|49.90282|18.78147|Arkansas||Zabłocie|||PL
13|13|13|52.83831|15.83078|Ruskin||Drezdenko|||PL
14|14|14|31.64615|120.74221|Clove||Changshu City|||CN
15|15|15|53.14821|18.17036|Carioca||Fordon|||PL
16|16|16|22.9673|-98.9682|Luster|TAM|Independencia|89759|Tamaulipas|MX
17|17|17|17.4183|-98.8122|Oakridge|GRO|Vicente Guerrero|40230|Guerrero|MX
18|18|18|39.74318|98.51736|Lyons||Jiuquan|||CN
19|19|19|40.52755|79.06577|Schiller||Kalpin|||CN
20|20|20|19.89295|109.52534|Old Shore||Xinying|||CN
21|21|21|-8.1654|-70.35486|Sloan||Feijó|||BR
22|22|22|48.52056|105.86833|Reindahl||Jargalant|||MN
23|23|23|-28.23078|28.30707|Dryden||Bethlehem|||ZA
24|24|24|33.50883|104.66915|Red Cloud||Pingya|||CN
25|25|25|-21.13778|-47.99028|Hollow Ridge||Sertãozinho|||BR
26|26|26|30.45317|113.18316|Johnson||Pengshi|||CN
27|27|27|29.81668|114.16691|North||Tingsiqiao|||CN
28|28|28|-7.1205|106.8693|Arkansas||Cipari Satu|||ID
29|29|29|54.20658|17.66816|Cascade||Parchowo|||PL
30|30|30|51.28753|15.22894|Claremont||Węgliniec|||PL
31|31|31|45.80603|38.99959|Hermina||Bryukhovetskaya|||RU
32|32|32|6.67342|-3.96938|Carpenter||Arrah|||CI
33|33|33|46.45194|15.68139|Clarendon||Rače|||SI
34|34|34|4.99337|19.96186|Moulton||Kouango|||CF
35|35|35|59.238|14.4308|Golf View|T|Degerfors|693 30|Örebro|SE
36|36|36|-37.4|175.93333|Bashford||Waihi Beach|||NZ
37|37|37|51.62389|124.1475|Hansons||Hongtu|||CN
38|38|38|30.18661|120.45359|Mendota||Guali|||CN
39|39|39|35.32596|100.2326|Summerview||Qushi’an|||CN
40|40|40|52.35533|71.88641|Gina||Stepnogorsk|||KZ
41|41|41|50.98916|33.9707|Ohio||Terny|||UA
42|42|42|23.0881|-82.3597|Scoville||Diez de Octubre|||CU
43|43|43|-26.152|26.15968|Reindahl||Lichtenburg|||ZA
44|44|44|67.62834|64.08965|International||Tsementnozavodskiy|||RU
45|45|45|13.96918|43.99673|Center||Al ‘Udayn|||YE
46|46|46|-29.40111|-51.945|Lotheville||Arroio do Meio|||BR
47|47|47|39.3917|-7.4|Tomscot|12|Santo António das Areias|7330-254|Portalegre|PT
48|48|48|-16.36667|-60.95|Red Cloud||San Ignacio de Velasco|||BO
49|49|49|6.1407|80.1012|Grim||Hikkaduwa|||LK
50|50|50|50.48378|13.3575|Clemons||Krásná Lípa|||CZ
51|51|51|41.80365|43.48194|Talisman||Tsaghveri|||GE
52|52|52|-26.66331|28.59016|Brickson Park||Balfour|||ZA
53|53|53|50.4406|13.45738|Lighthouse Bay||Údlice|||CZ
54|54|54|13.97361|-89.21861|Kinsman||El Paisnal|||SV
55|55|55|45.12833|19.22639|Eliot||Šid|||RS
56|56|56|30.66155|119.01476|Basil||Yalukou|||CN
57|57|57|6.65413|126.07268|Morrow||Sigaboy|||PH
58|58|58|52.355|-7.70389|Magdeline||Cluain Meala|||IE
59|59|59|29.29611|121.35833|Rieder||Huangtan|||CN
60|60|60|3.3644|172.98352|Burrows||Makin Village|||KI
61|61|61|51.75084|23.33814|Nobel||Sosnówka|||PL
62|62|62|-3.3925|-44.35861|Clemons||Itapecuru Mirim|||BR
63|63|63|55.8708|12.8302|Continental|M|Landskrona|261 45|Skåne|SE
