recId|SeqNumber|seqLength|displayLatitude|displayLongitude|district|county|city|postalCode|state|country
7403|1|1|-25.3121605|-57.3803406|Santo Domingo|Central|Areguá|2000||PRY
7492|1|1|-25.3121605|-57.3803406|Santo Domingo|Central|Areguá|2000||PRY
8891|3|3|14.4686604|121.0274582|San Antonio|Fourth District NCR|Parañaque||National Capital Region|PHL
12125|1|3|41.6674194|-0.82974|Santa Isabel|Zaragoza|Zaragoza|50016|Aragón|ESP
14029|4|4|29.5687103|-98.516037|Vista del Norte|Bexar|San Antonio|78216|TX|USA
15286|2|2|29.5948391|-98.6502991||Bexar|San Antonio|78255|TX|USA
16306|2|2|18.4700108|-69.8931274||Distrito Nacional|Santo Domingo|01001||DOM
16456|2|2|-33.506031|-70.6479797||Santiago|San Miguel|8900000|Metropolitana de Santiago|CHL
20349|2|2|-34.4436302|-71.0784531|San Vicente de Tagua Tagua|Cachapoal|San Vicente|2970000|Libertador Gral Bernardo O'Higgins|CHL
26544|1|1|19.62432|-69.96143|El Zapote|María Trinidad Sánchez|Cabrera|33202||DOM
27236|5|5|-34.5847206|-70.9933929||Colchagua|San Fernando|3070000|Libertador Gral Bernardo O'Higgins|CHL
27977|1|1|26.16115|-98.2944336||Hidalgo|Mission|78572|TX|USA
31307|1|1|35.98832|-105.93311|El Potrero|Santa Fe|Chimayo|87522|NM|USA
33148|1|1|34.1182213|-117.8045883||Los Angeles|San Dimas|91773|CA|USA
36648|9|9|37.2622604|-107.8752975||La Plata|Durango|81301|CO|USA
37016|1|1|37.2518196|-121.8946915|Branham-Jarvis|Santa Clara|San Jose|95118|CA|USA
40168|2|2|28.0635605|-15.4246597|Salto del Negro|Las Palmas|Las Palmas de Gran Canaria|35016|Islas Canarias|ESP
43712|1|1|34.02123|-118.32805|Cienega|Los Angeles|Los Angeles|90018|CA|USA
53230|1|1|26.17132|-98.2948074||Hidalgo|Mission|78572|TX|USA
53249|1|1|7.79046|-72.06183|La Florida||Cardenas||Táchira|VEN
55690|1|1|-26.23789|-57.18112|Sagrado Corazón de Jesús|Paraguarí|Caapucú|4300||PRY
56176|1|1|26.17132|-98.2948074||Hidalgo|Mission|78572|TX|USA
57887|1|1|40.6588097|-3.18448||Guadalajara|Guadalajara|19180|Castilla-La Mancha|ESP
57896|1|1|40.6588097|-3.18448||Guadalajara|Guadalajara|19180|Castilla-La Mancha|ESP
57910|2|2|40.6460609|-3.1819601||Guadalajara|Guadalajara|19004|Castilla-La Mancha|ESP
57947|1|1|40.6588097|-3.18448||Guadalajara|Guadalajara|19180|Castilla-La Mancha|ESP
57977|2|2|40.6559|-3.18502||Guadalajara|Guadalajara|19004|Castilla-La Mancha|ESP
57998|1|1|40.6588097|-3.18448||Guadalajara|Guadalajara|19180|Castilla-La Mancha|ESP
58013|1|1|40.6635284|-3.1967499||Guadalajara|Guadalajara|19004|Castilla-La Mancha|ESP
58017|3|5|40.6857796|-3.0889699||Guadalajara|Guadalajara|19004|Castilla-La Mancha|ESP
58017|4|5|40.6539803|-3.1270199|Taracena|Guadalajara|Guadalajara|19193|Castilla-La Mancha|ESP
58017|5|5|40.6845818|-3.0898399|Valdenoches|Guadalajara|Guadalajara|19004|Castilla-La Mancha|ESP
58025|2|2|40.65497|-3.18512||Guadalajara|Guadalajara|19004|Castilla-La Mancha|ESP
58051|2|2|40.7136497|-3.26929|Usanos|Guadalajara|Guadalajara|19193|Castilla-La Mancha|ESP
58106|1|1|40.6588097|-3.18448||Guadalajara|Guadalajara|19180|Castilla-La Mancha|ESP
58120|1|1|40.6588097|-3.18448||Guadalajara|Guadalajara|19180|Castilla-La Mancha|ESP
58121|2|2|40.65379|-3.1849||Guadalajara|Guadalajara|19004|Castilla-La Mancha|ESP
58122|2|2|40.65424|-3.18521||Guadalajara|Guadalajara|19004|Castilla-La Mancha|ESP
58123|2|2|40.65357|-3.18527||Guadalajara|Guadalajara|19004|Castilla-La Mancha|ESP
58193|2|2|40.65379|-3.1849||Guadalajara|Guadalajara|19004|Castilla-La Mancha|ESP
58205|1|2|40.6340294|-3.16944||Guadalajara|Guadalajara|19001|Castilla-La Mancha|ESP
58205|2|2|40.6339302|-3.1700499||Guadalajara|Guadalajara|19001|Castilla-La Mancha|ESP
58209|1|2|40.65357|-3.18527||Guadalajara|Guadalajara|19004|Castilla-La Mancha|ESP
