recId|SeqNumber|seqLength|displayLatitude|displayLongitude|district|county|city|postalCode|state|country
4|0|0||||||||
134|0|0||||||||
344|0|0||||||||
376|0|0||||||||
379|0|0||||||||
383|0|0||||||||
389|0|0||||||||
588|0|0||||||||
592|0|0||||||||
688|0|0||||||||
694|0|0||||||||
715|0|0||||||||
1477|0|0||||||||
1608|0|0||||||||
2030|0|0||||||||
2090|0|0||||||||
2196|0|0||||||||
2600|0|0||||||||
3948|0|0||||||||
4156|0|0||||||||
4401|0|0||||||||
4743|0|0||||||||
5792|0|0||||||||
6513|0|0||||||||
6726|0|0||||||||
6991|0|0||||||||
7133|0|0||||||||
7175|0|0||||||||
7291|0|0||||||||
7330|0|0||||||||
7338|0|0||||||||
7576|0|0||||||||
7820|0|0||||||||
7828|0|0||||||||
8036|0|0||||||||
8472|0|0||||||||
8474|0|0||||||||
8475|0|0||||||||
8508|0|0||||||||
8601|0|0||||||||
8616|0|0||||||||
8647|0|0||||||||
8660|0|0||||||||
8700|0|0||||||||
8744|0|0||||||||
8753|0|0||||||||
8771|0|0||||||||
8809|0|0||||||||
8866|0|0||||||||
8869|0|0||||||||
8878|0|0||||||||
8881|0|0||||||||
8963|0|0||||||||
9009|0|0||||||||
9029|0|0||||||||
9030|0|0||||||||
9031|0|0||||||||
9081|0|0||||||||
9155|0|0||||||||
9210|0|0||||||||
9317|0|0||||||||
9376|0|0||||||||
9393|0|0||||||||
9603|0|0||||||||
9613|0|0||||||||
9626|0|0||||||||
9715|0|0||||||||
9730|0|0||||||||
9834|0|0||||||||
9839|0|0||||||||
9879|0|0||||||||
9880|0|0||||||||
9899|0|0||||||||
9917|0|0||||||||
9919|0|0||||||||
9973|0|0||||||||
9978|0|0||||||||
9979|0|0||||||||
10016|0|0||||||||
10053|0|0||||||||
10057|0|0||||||||
10073|0|0||||||||
10098|0|0||||||||
10130|0|0||||||||
10139|0|0||||||||
10161|0|0||||||||
10167|0|0||||||||
10172|0|0||||||||
10202|0|0||||||||
10204|0|0||||||||
10216|0|0||||||||
10221|0|0||||||||
10223|0|0||||||||
10228|0|0||||||||
10235|0|0||||||||
10242|0|0||||||||
10282|0|0||||||||
10285|0|0||||||||
10309|0|0||||||||
10321|0|0||||||||
10334|0|0||||||||
10352|0|0||||||||
10355|0|0||||||||
10365|0|0||||||||
10366|0|0||||||||
10374|0|0||||||||
10388|0|0||||||||
10390|0|0||||||||
10406|0|0||||||||
10407|0|0||||||||
10412|0|0||||||||
10413|0|0||||||||
10416|0|0||||||||
10576|0|0||||||||
10611|0|0||||||||
10613|0|0||||||||
10616|0|0||||||||
10634|0|0||||||||
10645|0|0||||||||
10651|0|0||||||||
10661|0|0||||||||
10669|0|0||||||||
10676|0|0||||||||
10681|0|0||||||||
10692|0|0||||||||
10729|0|0||||||||
10731|0|0||||||||
10747|0|0||||||||
10748|0|0||||||||
10772|0|0||||||||
10782|0|0||||||||
10787|0|0||||||||
10789|0|0||||||||
10795|0|0||||||||
10797|0|0||||||||
10823|0|0||||||||
10888|0|0||||||||
10893|0|0||||||||
10923|0|0||||||||
10972|0|0||||||||
10998|0|0||||||||
11013|0|0||||||||
11054|0|0||||||||
11058|0|0||||||||
11066|0|0||||||||
11069|0|0||||||||
11100|0|0||||||||
11128|0|0||||||||
11134|0|0||||||||
11197|0|0||||||||
11200|0|0||||||||
11202|0|0||||||||
11208|0|0||||||||
11209|0|0||||||||
11260|0|0||||||||
11330|0|0||||||||
11346|0|0||||||||
11390|0|0||||||||
11398|0|0||||||||
11401|0|0||||||||
11403|0|0||||||||
11411|0|0||||||||
11416|0|0||||||||
11418|0|0||||||||
11419|0|0||||||||
11435|0|0||||||||
11454|0|0||||||||
11455|0|0||||||||
11460|0|0||||||||
11468|0|0||||||||
11499|0|0||||||||
11732|0|0||||||||
11826|0|0||||||||
11858|0|0||||||||
11874|0|0||||||||
11881|0|0||||||||
11888|0|0||||||||
11895|0|0||||||||
11899|0|0||||||||
11913|0|0||||||||
11918|0|0||||||||
11923|0|0||||||||
11929|0|0||||||||
11950|0|0||||||||
11966|0|0||||||||
11998|0|0||||||||
12020|0|0||||||||
12029|0|0||||||||
12032|0|0||||||||
12035|0|0||||||||
12036|0|0||||||||
12040|0|0||||||||
12062|0|0||||||||
12064|0|0||||||||
12068|0|0||||||||
12073|0|0||||||||
12075|0|0||||||||
12087|0|0||||||||
12120|0|0||||||||
12440|0|0||||||||
12584|0|0||||||||
12585|0|0||||||||
12674|0|0||||||||
12676|0|0||||||||
12686|0|0||||||||
12811|0|0||||||||
13111|0|0||||||||
13363|0|0||||||||
13964|0|0||||||||
14066|0|0||||||||
14101|0|0||||||||
14207|0|0||||||||
14405|0|0||||||||
14505|0|0||||||||
14664|0|0||||||||
14665|0|0||||||||
14778|0|0||||||||
14784|0|0||||||||
14848|0|0||||||||
14943|0|0||||||||
15064|0|0||||||||
15101|0|0||||||||
15128|0|0||||||||
15278|0|0||||||||
15478|0|0||||||||
15510|0|0||||||||
15790|0|0||||||||
16140|0|0||||||||
16554|0|0||||||||
16563|0|0||||||||
16817|0|0||||||||
17168|0|0||||||||
17201|0|0||||||||
17280|0|0||||||||
17323|0|0||||||||
17367|0|0||||||||
17399|0|0||||||||
17613|0|0||||||||
17690|0|0||||||||
18161|0|0||||||||
